4627,205,26.4384,2021-07-23 19:10:54-03:00,0 days 00:00:00
4747,205,29.34,2021-07-28 10:35:31-03:00,0 days 00:00:00
4810,205,60.75,2021-07-28 23:08:44-03:00,0 days 00:00:00
1422,431,10.0,2020-11-10 22:38:07-03:00,0 days 00:01:00
1532,515,885.988125,2020-11-24 19:05:33-03:00,0 days 00:00:00
1811,515,8.211,2020-12-01 18:24:29-03:00,0 days 00:01:33
2339,523,10.002,2020-12-11 23:15:33-03:00,0 days 00:00:01
2598,533,50.0,2020-12-18 17:45:25-03:00,0 days 00:01:30
2737,533,10.002,2020-12-21 21:33:40-03:00,0 days 00:00:01
3079,533,24.999,2021-01-23 09:44:31-03:00,0 days 00:00:01
3091,533,5.001,2021-01-28 10:02:57-03:00,0 days 00:00:00
3107,533,12.4995,2021-01-28 10:47:36-03:00,0 days 00:00:00
3108,533,5.001,2021-01-28 10:47:37-03:00,0 days 00:00:01
3119,533,24.999,2021-01-28 20:46:47-03:00,0 days 00:00:00
3132,533,5.001,2021-01-28 21:24:36-03:00,0 days 00:00:00
3145,533,5.001,2021-01-28 21:59:26-03:00,0 days 00:00:00
3163,533,5.001,2021-01-29 11:43:24-03:00,0 days 00:00:00
3178,533,24.999,2021-01-29 12:15:38-03:00,0 days 00:00:00
3195,533,2.5005,2021-01-29 20:55:58-03:00,0 days 00:00:00
3194,533,2.5005,2021-01-29 20:55:58-03:00,0 days 00:00:00
3208,533,24.999,2021-01-29 21:31:55-03:00,0 days 00:00:00
3606,690,50.0,2021-06-12 19:12:44-03:00,0 days 00:01:51
3629,690,20.0,2021-06-14 14:15:47-03:00,0 days 00:01:33
3630,690,20.0,2021-06-14 14:16:51-03:00,0 days 00:01:04
3640,690,20.0,2021-06-14 17:43:34-03:00,0 days 00:00:49
3641,690,10.0,2021-06-14 17:44:41-03:00,0 days 00:01:07
3663,690,10.0,2021-06-15 11:11:36-03:00,0 days 00:01:46
3666,690,10.0,2021-06-15 11:27:54-03:00,0 days 00:01:32
3695,690,5.0,2021-06-17 14:36:46-03:00,0 days 00:01:46
3696,690,20.0,2021-06-17 14:37:29-03:00,0 days 00:00:43
3725,690,20.0,2021-06-19 09:32:10-03:00,0 days 00:00:46
3782,690,20.0,2021-06-23 10:29:50-03:00,0 days 00:01:09
3817,690,5.0,2021-06-24 10:20:32-03:00,0 days 00:00:51
3822,690,5.0,2021-06-24 10:59:34-03:00,0 days 00:00:43
3823,690,5.0,2021-06-24 10:59:58-03:00,0 days 00:00:24
3848,690,20.0,2021-06-25 09:55:41-03:00,0 days 00:00:27
3849,690,5.0,2021-06-25 09:57:02-03:00,0 days 00:01:21
3850,690,5.0,2021-06-25 09:57:29-03:00,0 days 00:00:27
3856,690,20.0,2021-06-25 14:39:22-03:00,0 days 00:00:19
3878,690,5.0,2021-06-26 15:10:14-03:00,0 days 00:00:33
3879,690,5.0,2021-06-26 15:10:44-03:00,0 days 00:00:30
3644,695,10.0,2021-06-14 18:27:28-03:00,0 days 00:00:53
5728,730,2.0,2021-09-26 11:24:06-03:00,0 days 00:00:33
5847,730,3.0,2021-09-28 13:34:17-03:00,0 days 00:00:40
