id,cliente_id,valor,data,intervalo
333,73,-50.0,2019-12-19 23:52:00-03:00,0 days 00:01:08
1803,73,-100.0,2020-12-01 17:56:59-03:00,0 days 00:00:39
1905,73,-50.0,2020-12-03 21:27:46-03:00,0 days 00:01:19
1959,73,-1.0,2020-12-08 17:44:57-03:00,0 days 00:01:12
2063,73,-20.0,2020-12-09 15:43:28-03:00,0 days 00:01:58
2084,73,-1.0,2020-12-09 18:57:37-03:00,0 days 00:00:17
2085,73,-1.0,2020-12-09 18:58:23-03:00,0 days 00:00:46
2096,73,-1.0,2020-12-09 20:41:56-03:00,0 days 00:00:28
2097,73,-1.0,2020-12-09 20:42:14-03:00,0 days 00:00:18
2098,73,-1.0,2020-12-09 20:42:41-03:00,0 days 00:00:27
2104,73,-1.0,2020-12-09 21:14:04-03:00,0 days 00:00:28
2115,73,-1.0,2020-12-09 21:44:05-03:00,0 days 00:00:46
2116,73,-1.0,2020-12-09 21:45:22-03:00,0 days 00:01:17
2138,73,-2.0,2020-12-10 18:40:35-03:00,0 days 00:01:07
2185,73,-1.0,2020-12-10 22:51:39-03:00,0 days 00:00:29
2186,73,-1.0,2020-12-10 22:53:21-03:00,0 days 00:01:42
2187,73,-1.0,2020-12-10 22:53:44-03:00,0 days 00:00:23
2188,73,-1.0,2020-12-10 22:54:19-03:00,0 days 00:00:35
2189,73,-1.0,2020-12-10 22:54:49-03:00,0 days 00:00:30
2191,73,-1.0,2020-12-10 22:59:41-03:00,0 days 00:01:40
2192,73,-1.0,2020-12-10 23:00:02-03:00,0 days 00:00:21
2193,73,-1.0,2020-12-10 23:00:31-03:00,0 days 00:00:29
2194,73,-1.0,2020-12-10 23:01:08-03:00,0 days 00:00:37
2195,73,-1.0,2020-12-10 23:02:48-03:00,0 days 00:01:40
2215,73,-1.0,2020-12-11 18:38:29-03:00,0 days 00:00:46
2216,73,-1.0,2020-12-11 18:38:54-03:00,0 days 00:00:25
2226,73,-5.0,2020-12-11 19:11:49-03:00,0 days 00:00:30
2230,73,-3.0,2020-12-11 19:25:41-03:00,0 days 00:00:18
2231,73,-1.0,2020-12-11 19:26:10-03:00,0 days 00:00:29
2232,73,-1.0,2020-12-11 19:26:27-03:00,0 days 00:00:17
2233,73,-1.0,2020-12-11 19:26:50-03:00,0 days 00:00:23
2234,73,-1.0,2020-12-11 19:27:23-03:00,0 days 00:00:33
2237,73,-1.0,2020-12-11 19:33:38-03:00,0 days 00:00:16
2238,73,-1.0,2020-12-11 19:34:32-03:00,0 days 00:00:54
2239,73,-1.0,2020-12-11 19:34:56-03:00,0 days 00:00:24
2243,73,-1.0,2020-12-11 20:09:50-03:00,0 days 00:00:26
2244,73,-1.0,2020-12-11 20:10:19-03:00,0 days 00:00:29
2245,73,-2.0,2020-12-11 20:11:03-03:00,0 days 00:00:44
2246,73,-1.0,2020-12-11 20:11:27-03:00,0 days 00:00:24
2247,73,-1.0,2020-12-11 20:11:44-03:00,0 days 00:00:17
2248,73,-1.0,2020-12-11 20:12:14-03:00,0 days 00:00:30
2249,73,-1.0,2020-12-11 20:12:44-03:00,0 days 00:00:30
2250,73,-1.0,2020-12-11 20:13:05-03:00,0 days 00:00:21
2251,73,-1.0,2020-12-11 20:13:21-03:00,0 days 00:00:16
2252,73,-1.0,2020-12-11 20:13:46-03:00,0 days 00:00:25
2253,73,-1.0,2020-12-11 20:14:17-03:00,0 days 00:00:31
2254,73,-1.0,2020-12-11 20:14:45-03:00,0 days 00:00:28
2256,73,-1.0,2020-12-11 20:21:13-03:00,0 days 00:00:22
2257,73,-1.0,2020-12-11 20:21:39-03:00,0 days 00:00:26
2261,73,-3.0,2020-12-11 20:36:09-03:00,0 days 00:01:29
2262,73,-1.0,2020-12-11 20:36:41-03:00,0 days 00:00:32
2263,73,-1.0,2020-12-11 20:37:01-03:00,0 days 00:00:20
2264,73,-1.0,2020-12-11 20:37:40-03:00,0 days 00:00:39
2265,73,-1.0,2020-12-11 20:38:12-03:00,0 days 00:00:32
2266,73,-1.0,2020-12-11 20:38:58-03:00,0 days 00:00:46
2267,73,-1.0,2020-12-11 20:39:21-03:00,0 days 00:00:23
2268,73,-1.0,2020-12-11 20:39:47-03:00,0 days 00:00:26
2270,73,-1.0,2020-12-11 20:43:39-03:00,0 days 00:00:35
2271,73,-1.0,2020-12-11 20:44:11-03:00,0 days 00:00:32
2272,73,-1.0,2020-12-11 20:44:37-03:00,0 days 00:00:26
2273,73,-1.0,2020-12-11 20:45:12-03:00,0 days 00:00:35
2274,73,-1.0,2020-12-11 20:45:30-03:00,0 days 00:00:18
